Extracted:,United Nations High Commissioner for Refugees
Date extracted:,15/08/2023 17:44:13
Last updated:,15/08/2023 17:44:13

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
2023 data (if included) as of:, June 2023
Country of origin:,"AFG,IRQ,SYR"
Country of asylum:,"ALB,ARM,AZE,BLR,BIH,HRV,CYP,CZE,GEO,HUN,MLT,MKD,MDA,ROU,RUS,SRB,TUR,UKR"
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",CAN,"Canada",2438
2016,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",1
2016,AFG,"Afghanistan",RUS,"Russian Federation",FIN,"Finland",16
2016,AFG,"Afghanistan",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",3
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",LTU,"Lithuania",25
2016,IRQ,"Iraq",TUR,"Turkiye",ITA,"Italy",1
2016,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",USA,"United States of America",4
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",DEU,"Germany",1033
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",BEL,"Belgium",102
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",PRT,"Portugal",12
2016,IRQ,"Iraq",TUR,"Turkiye",AUS,"Australia",357
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",SWE,"Sweden",308
2016,IRQ,"Iraq",TUR,"Turkiye",USA,"United States of America",3786
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",702
2016,AFG,"Afghanistan",RUS,"Russian Federation",SWE,"Sweden",3
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",EST,"Estonia",11
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",HUN,"Hungary",4
2016,AFG,"Afghanistan",UKR,"Ukraine",USA,"United States of America",20
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",LUX,"Luxembourg",52
2016,IRQ,"Iraq",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",9
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FRA,"France",432
2016,IRQ,"Iraq",TUR,"Turkiye",NZL,"New Zealand",1
2016,AFG,"Afghanistan",RUS,"Russian Federation",USA,"United States of America",14
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ITA,"Italy",81
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",AUS,"Australia",69
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",LVA,"Latvia",6
2016,AFG,"Afghanistan",UKR,"Ukraine",CAN,"Canada",1
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NOR,"Norway",313
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ESP,"Spain",57
2016,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",SWE,"Sweden",7
2016,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FIN,"Finland",132
2017,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",SWE,"Sweden",7
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FIN,"Finland",845
2017,AFG,"Afghanistan",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",AUS,"Australia",2
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",DEU,"Germany",2703
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",AUT,"Austria",214
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",HRV,"Croatia",40
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",USA,"United States of America",1055
2017,AFG,"Afghanistan",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",FRA,"France",2
2017,AFG,"Afghanistan",TUR,"Turkiye",USA,"United States of America",185
2017,IRQ,"Iraq",TUR,"Turkiye",CAN,"Canada",327
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NLD,"Netherlands",2103
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",CAN,"Canada",742
2017,SYR,"Syrian Arab Rep.",ARM,"Armenia",FIN,"Finland",1
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",LTU,"Lithuania",58
2017,AFG,"Afghanistan",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",28
2017,AFG,"Afghanistan",UKR,"Ukraine",SWE,"Sweden",6
2017,AFG,"Afghanistan",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",SWE,"Sweden",16
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",BEL,"Belgium",715
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",PRT,"Portugal",131
2017,IRQ,"Iraq",TUR,"Turkiye",AUS,"Australia",219
2017,IRQ,"Iraq",TUR,"Turkiye",LUX,"Luxembourg",1
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",SWE,"Sweden",456
2017,SYR,"Syrian Arab Rep.",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",NOR,"Norway",2
2017,IRQ,"Iraq",TUR,"Turkiye",USA,"United States of America",1441
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",453
2017,IRQ,"Iraq",TUR,"Turkiye",FIN,"Finland",1
2017,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",FIN,"Finland",6
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",EST,"Estonia",19
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",LUX,"Luxembourg",154
2017,AFG,"Afghanistan",AZE,"Azerbaijan",USA,"United States of America",3
2017,IRQ,"Iraq",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",91
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FRA,"France",766
2017,AFG,"Afghanistan",RUS,"Russian Federation",USA,"United States of America",3
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ROU,"Romania",43
2017,AFG,"Afghanistan",BLR,"Belarus",USA,"United States of America",15
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ITA,"Italy",245
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",AUS,"Australia",2
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",LVA,"Latvia",40
2017,IRQ,"Iraq",TUR,"Turkiye",CHE,"Switzerland",5
2017,IRQ,"Iraq",GEO,"Georgia",SWE,"Sweden",1
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",MLT,"Malta",17
2017,AFG,"Afghanistan",UKR,"Ukraine",CAN,"Canada",9
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NOR,"Norway",530
2017,SYR,"Syrian Arab Rep.",UKR,"Ukraine",SWE,"Sweden",1
2017,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ESP,"Spain",358
2018,AFG,"Afghanistan",UKR,"Ukraine",CAN,"Canada",2
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NOR,"Norway",407
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ESP,"Spain",17
2018,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",SWE,"Sweden",6
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FIN,"Finland",361
2018,IRQ,"Iraq",TUR,"Turkiye",DEU,"Germany",1
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NZL,"New Zealand",1
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",SVN,"Slovenia",34
2018,IRQ,"Iraq",TUR,"Turkiye",SWE,"Sweden",2
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",DEU,"Germany",2823
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",HRV,"Croatia",88
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",USA,"United States of America",12
2018,AFG,"Afghanistan",TUR,"Turkiye",USA,"United States of America",117
2018,IRQ,"Iraq",TUR,"Turkiye",CAN,"Canada",159
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NLD,"Netherlands",699
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",CAN,"Canada",583
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",LTU,"Lithuania",18
2018,SYR,"Syrian Arab Rep.",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",FIN,"Finland",5
2018,AFG,"Afghanistan",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",25
2018,AFG,"Afghanistan",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",SWE,"Sweden",15
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",BEL,"Belgium",336
2018,IRQ,"Iraq",TUR,"Turkiye",AUS,"Australia",52
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",SWE,"Sweden",319
